Sukunimi;Yhteensä;;;
Kurkela;940;;;
Nordberg;940;;;
Tran;939;;;
Sirkiä;938;;;
Purhonen;937;;;
Rönkä;936;;;
Björk;935;;;
Dahl;933;;;
Siira;932;;;
Stenman;932;;;
Enqvist;931;;;
Hietikko;931;;;
Kajander;931;;;
Hellström;930;;;
Mönkkönen;929;;;
Kuvaja;928;;;
Käyhkö;928;;;
Terho;928;;;
Asplund;926;;;
Suonpää;926;;;
Kulju;925;;;
Pusa;925;;;
Kallioniemi;923;;;
Koskelainen;923;;;
Kaasalainen;922;;;
Karppanen;922;;;
Metsälä;922;;;
Koskelo;920;;;
Nokelainen;920;;;
Romppainen;919;;;
Henttonen;917;;;
Siponen;917;;;
Kaski;916;;;
Toropainen;916;;;
Juuti;914;;;
Palokangas;913;;;
Lindblom;912;;;
Mehtälä;912;;;
Palviainen;911;;;
Kasurinen;909;;;
Oksman;909;;;
Perkiö;909;;;
Lievonen;908;;;
Backlund;907;;;
Kopra;907;;;
Nummelin;906;;;
Klemola;905;;;
Parkkila;904;;;
Häyrinen;903;;;
Pöntinen;903;;;
Riekki;901;;;
Back;896;;;
Knuuttila;896;;;
Luokkanen;895;;;
Naumanen;895;;;
Lohi;892;;;
Isomäki;891;;;
Liimatta;891;;;
Mantere;891;;;
Granqvist;889;;;
Pajula;889;;;
Paldanius;887;;;
Pöyry;887;;;
Rouvinen;887;;;
Malin;886;;;
Toiviainen;886;;;
Heikkonen;885;;;
Sandell;883;;;
Vesanen;881;;;
Arponen;880;;;
Palola;880;;;
Kanniainen;879;;;
Haakana;878;;;
Ruokolainen;877;;;
Lahtela;876;;;
Puolakka;876;;;
Smeds;875;;;
Ukkola;872;;;
Lund;871;;;
Norrgård;871;;;
Kotiranta;869;;;
Boman;867;;;
Miettunen;867;;;
Luomala;865;;;
Kankare;864;;;
Huovila;862;;;
Myllyniemi;861;;;
Mäkynen;861;;;
Isaksson;859;;;
Paaso;859;;;
Isoaho;858;;;
Laasonen;857;;;
Vierimaa;857;;;
Jurvanen;855;;;
Sironen;855;;;
Pyykönen;854;;;
Räikkönen;853;;;
Silander;853;;;
Kurtti;852;;;
Herrala;850;;;
Vähäkangas;850;;;
Ahlqvist;849;;;
Pajari;849;;;
Lehtomäki;848;;;
Siren;848;;;
Tuomikoski;847;;;
Halinen;844;;;
Sorjonen;844;;;
Suikkanen;844;;;
Särkkä;844;;;
Berglund;843;;;
Hyyryläinen;843;;;
Ohtonen;843;;;
Stenroos;841;;;
Haapasalo;840;;;
Lahdenperä;840;;;
Flink;839;;;
Pernu;838;;;
Engström;833;;;
Huuhtanen;833;;;
Takalo;833;;;
Lauronen;832;;;
Rinkinen;832;;;
Vaarala;831;;;
Knuutinen;830;;;
Vihavainen;830;;;
Valo;829;;;
Myller;828;;;
Tammela;828;;;
Kallioinen;827;;;
Launonen;825;;;
Möttönen;825;;;
Niemistö;825;;;
Riekkinen;825;;;
Schroderus;825;;;
Poikonen;824;;;
Viskari;824;;;
Kurkinen;823;;;
Hagman;822;;;
Korkalainen;822;;;
Savola;819;;;
Malmi;818;;;
Pakkala;818;;;
Ristola;818;;;
Saaristo;817;;;
Rask;816;;;
Hinkkanen;815;;;
Laurikainen;815;;;
Raivio;815;;;
Ruusunen;815;;;
Paloniemi;814;;;
Helle;813;;;
Myyryläinen;813;;;
Viinikka;813;;;
Oinas;812;;;
Brandt;811;;;
Reiman;805;;;
Fredriksson;804;;;
Husu;804;;;
Korkala;803;;;
Wiik;803;;;
Haatainen;802;;;
Kinnari;801;;;
Kujansuu;801;;;
Koikkalainen;799;;;
Tikkala;799;;;
Vahtera;799;;;
Pentti;798;;;
Ristolainen;798;;;
Taskila;797;;;
Rosendahl;796;;;
Kojo;793;;;
Tuunanen;793;;;
Kostiainen;792;;;
Kantonen;790;;;
Mertanen;789;;;
Bäckström;788;;;
Hyppönen;787;;;
Lähdesmäki;786;;;
Jakobsson;785;;;
Lampi;785;;;
Aikio;783;;;
Havukainen;783;;;
Hagert;782;;;
Bäck;781;;;
Ahvenainen;779;;;
Koivuranta;779;;;
Rosenqvist;779;;;
Lepola;778;;;
Myllykangas;778;;;
Vento;778;;;
Illikainen;774;;;
Kallunki;774;;;
Kunnas;773;;;
Nivala;773;;;
Pölönen;773;;;
Ylimäki;772;;;
Maunula;771;;;
Ilola;770;;;
Saarnio;769;;;
Pohjolainen;768;;;
Ruhanen;768;;;
Pullinen;767;;;
Kankainen;766;;;
Hölttä;765;;;
Keto;764;;;
Puska;764;;;
Pussinen;764;;;
Forsell;763;;;
Karhula;762;;;
Reinikka;762;;;
Suojanen;762;;;
Taavitsainen;762;;;
Uitto;762;;;
Tanner;761;;;
Laukka;760;;;
Pohjalainen;760;;;
Järvensivu;759;;;
Varonen;759;;;
Hakonen;758;;;
Tuisku;758;;;
Sorri;757;;;
Riipinen;756;;;
Tuohimaa;755;;;
Huhtamäki;753;;;
Rantalainen;751;;;
Grönberg;750;;;
Lötjönen;750;;;
Marin;750;;;
Torniainen;750;;;
Rutanen;749;;;
Kurikka;748;;;
Pesola;748;;;
Ahlfors;746;;;
Käkelä;746;;;
Tammisto;746;;;
Visuri;746;;;
Hakamäki;745;;;
Rastas;745;;;
Viita;745;;;
Rainio;741;;;
Mehtonen;740;;;
Myöhänen;740;;;
Olin;740;;;
Poikela;740;;;
Grönqvist;738;;;
Fagerlund;736;;;
Julin;736;;;
Roine;736;;;
Pekkola;735;;;
Fagerholm;734;;;
Juopperi;734;;;
Korkeamäki;734;;;
Valjakka;734;;;
Vesalainen;734;;;
Nyqvist;732;;;
Pekonen;732;;;
Kantanen;731;;;
Tapaninen;730;;;
Kiljunen;729;;;
Finnilä;728;;;
Lindstedt;728;;;
Muikku;728;;;
Sievänen;727;;;
Särkelä;727;;;
Äikäs;727;;;
Kvist;726;;;
Kostamo;723;;;
Luhtala;723;;;
Dahlström;722;;;
Jokitalo;722;;;
