Etunimi;Lukumäärä;;;
Frida;2 410;;;
Melissa;2 397;;;
Anastasia;2 374;;;
Louise;2 361;;;
Elsi;2 360;;;
Inga;2 356;;;
Amelia;2 348;;;
Ulrika;2 340;;;
Lilli;2 321;;;
Elma;2 306;;;
Helka;2 305;;;
Seela;2 289;;;
Anna-Maria;2 288;;;
Virve;2 287;;;
Raakel;2 271;;;
Saila;2 239;;;
Vivian;2 236;;;
Ulla-Maija;2 230;;;
Mette;2 202;;;
Aija;2 189;;;
Sofie;2 187;;;
Unelma;2 177;;;
Margaretha;2 175;;;
Wilma;2 157;;;
Gunilla;2 156;;;
Annele;2 154;;;
Lempi;2 150;;;
Adalmiina;2 148;;;
Iisa;2 139;;;
Melina;2 136;;;
Aliina;2 126;;;
Vera;2 115;;;
Heta;2 101;;;
Christine;2 096;;;
Minja;2 086;;;
Carolina;2 085;;;
Liina;2 074;;;
Eine;2 053;;;
Rita;2 053;;;
Hanne;2 048;;;
Rebekka;2 042;;;
Erica;2 026;;;
Lisa;1 992;;;
Tilda;1 990;;;
Varpu;1 984;;;
Taija;1 978;;;
Maisa;1 975;;;
Moona;1 972;;;
Elle;1 964;;;
Tuire;1 952;;;
Carola;1 940;;;
Monika;1 922;;;
Carina;1 892;;;
Mariia;1 879;;;
Patricia;1 873;;;
Karolina;1 863;;;
Kaisla;1 856;;;
Reeta;1 856;;;
Selina;1 843;;;
Elin;1 839;;;
Charlotte;1 830;;;
Miina;1 818;;;
Reija;1 806;;;
Heljä;1 804;;;
Janna;1 800;;;
Mirella;1 796;;;
Viktoria;1 788;;;
Taika;1 787;;;
Susan;1 784;;;
Säde;1 775;;;
Lena;1 755;;;
Solveig;1 755;;;
Salli;1 751;;;
Eini;1 749;;;
Henrietta;1 744;;;
Riitta-Liisa;1 733;;;
Miisa;1 726;;;
Kiira;1 693;;;
Helli;1 686;;;
Jasmine;1 679;;;
Kia;1 675;;;
Aura;1 668;;;
Anna-Kaisa;1 661;;;
Helga;1 658;;;
Marleena;1 652;;;
Ninni;1 647;;;
Brita;1 644;;;
Inger;1 631;;;
Harriet;1 627;;;
Saaga;1 622;;;
Sointu;1 621;;;
Hellin;1 616;;;
Kerstin;1 612;;;
Saima;1 611;;;
Titta;1 605;;;
Helene;1 585;;;
Pirita;1 577;;;
Jasmiina;1 572;;;
Wilhelmina;1 563;;;
Erin;1 552;;;
Enna;1 551;;;
Valpuri;1 550;;;
Marja-Terttu;1 549;;;
Livia;1 542;;;
Eleonora;1 541;;;
Veronica;1 529;;;
Diana;1 520;;;
Elvira;1 515;;;
Rebecca;1 515;;;
Stina;1 506;;;
Ira;1 479;;;
Annette;1 478;;;
Evelina;1 476;;;
Leea;1 472;;;
Raisa;1 469;;;
Helen;1 463;;;
Pilvi;1 453;;;
Ava;1 452;;;
Mea;1 450;;;
Luna;1 438;;;
Ursula;1 438;;;
Justiina;1 437;;;
Eleonoora;1 435;;;
Thi;1 433;;;
Amelie;1 431;;;
Greta;1 431;;;
Iines;1 429;;;
Neela;1 421;;;
Lovisa;1 419;;;
Lyyli;1 418;;;
Martina;1 417;;;
Kanerva;1 409;;;
Tia;1 404;;;
Fiona;1 402;;;
Alva;1 399;;;
Inna;1 398;;;
Else;1 397;;;
Kirsi-Marja;1 388;;;
Anna-Mari;1 360;;;
Siru;1 345;;;
Aida;1 337;;;
Mariitta;1 334;;;
Elizabeth;1 333;;;
Henni;1 331;;;
Tuovi;1 331;;;
Lumia;1 325;;;
Iita;1 323;;;
Ingegerd;1 317;;;
Yvonne;1 315;;;
Benita;1 314;;;
